,note/precision,note/recall,note/f1,note-w-offsets/precision,note-w-offsets/recall,note-w-offsets/f1,note-w-velocity/precision,note-w-velocity/recall,note-w-velocity/f1
2024-02-14_19-55-17.h5,0.9638524987869966,0.7058092023449991,0.8148907804327762,0.37093643862202813,0.2716290637768698,0.3136088606296791,0.8355167394468704,0.6118315864274294,0.7063890882986361
2024-02-14_20-10-08.h5,0.972666050442361,0.7872181254675644,0.8701712935617248,0.3876931202957877,0.3137757828363792,0.3468399291199056,0.8861745675425855,0.717217056748958,0.792793857058476
2024-02-15_20-17-26.h5,0.9563886763580719,0.7433102081268583,0.8364934195850992,0.4220862024993624,0.3280475718533201,0.3691724291768904,0.8699311400153023,0.6761149653121903,0.7608744144546064
2024-02-15_20-47-59.h5,0.9887323943661972,0.8447653429602888,0.9110966904607398,0.1908450704225352,0.16305655836341756,0.17585983127839064,0.7267605633802817,0.6209386281588448,0.6696950032446464
2024-09-02_14-10-41.h5,0.951114922813036,0.858359133126935,0.9023596419853539,0.3190394511149228,0.28792569659442724,0.3026851098454028,0.7572898799313894,0.68343653250774,0.7184703010577705
2024-09-02_18-42-47.h5,0.9723577235772358,0.8947974217311234,0.9319666726607925,0.6722951844903065,0.6186694290976059,0.6443685188515256,0.9021888680425266,0.8302255985267035,0.8647125816699635
2024-09-02_21-04-45.h5,0.9574563367666816,0.7834371564675705,0.8617492946392583,0.5006717420510524,0.40967387321363136,0.4506247480854494,0.8042991491267353,0.6581165262000733,0.7239016525594518
2024-09-03_00-44-45.h5,0.9924528301886792,0.8357497517378352,0.9073854447439352,0.8419811320754716,0.7090367428003972,0.7698113207547168,0.903066037735849,0.7604766633565044,0.8256603773584905
2024-09-04_17-02-04.h5,1.0,0.96,0.9795918367346939,0.8333333333333334,0.8,0.816326530612245,0.6805555555555556,0.6533333333333333,0.6666666666666667
2024-09-04_17-07-59.h5,1.0,1.0,1.0,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.6161616161616161,0.6161616161616161,0.6161616161616161
2024-09-04_21-09-37.h5,0.9441394898288666,0.6398249452954048,0.7627494456762749,0.3703584113658379,0.2509846827133479,0.2992043824181557,0.7723603487245722,0.5234135667396062,0.6239728707447502
2024-09-05_13-36-00.h5,0.9854368932038835,0.8475991649269311,0.9113355780022446,0.15898058252427186,0.13674321503131523,0.14702581369248036,0.7330097087378641,0.6304801670146137,0.6778900112233446
2024-09-05_21-26-38.h5,0.9928057553956835,0.9139072847682119,0.9517241379310345,0.7985611510791367,0.7350993377483444,0.7655172413793104,0.920863309352518,0.847682119205298,0.8827586206896552
2024-09-05_22-11-07.h5,0.9357326478149101,0.7647058823529411,0.8416184971098266,0.5244215938303342,0.42857142857142855,0.47167630057803467,0.8615497612926919,0.7040816326530612,0.7748967795210571
